headline,url,datePublished
 Вучић са Боцан-Харченком о енергетској безбедности: Србија ће умети да заштити своје интересе,https://www.rts.rs/vesti/politika/5856847/aleksandar-vucic-aleksandr-bocan-harcenko.html,"субота, 27. дец 2025, 11:31 -> 12:17"
Нова зграда Генералштаба на Бањици биће изграђена за три године,https://www.rts.rs/vesti/politika/5856851/vucic-objekat-generalstab-vojska-banjica.html,"субота, 27. дец 2025, 11:31 -> 18:48"
"Вучић са Орбаном о енергетској безбедности, приоритет стабилно снабдевање",https://www.rts.rs/vesti/politika/5856843/vucic-orban-srbija-madjarska-saradnja.html,"субота, 27. дец 2025, 11:19 -> 12:10"
"Вучић: Само јака војска гарант мира, наставићемо да улажемо у безбедносне снаге Србије",https://www.rts.rs/vesti/politika/5856826/aleksandar-vucic-vojska-srbije-bezbezdnosne-snage.html,"субота, 27. дец 2025, 09:21 -> 09:27"
Далибор Јевтић:  Јединство Срба кључно да свих 10 мандата припадне српском народу,https://www.rts.rs/vesti/politika/5856779/srpska-lista-izbori-na-kim-dalibor-jevtic.html,"субота, 27. дец 2025, 08:20 -> 08:22"
Шта поручују представници Срба уочи избора на Косову и Метохији,https://www.rts.rs/vesti/politika/5856695/kosovo-izbori-srpska-lista.html,"петак, 26. дец 2025, 20:00 -> 20:15"
Мариника Тепић прочитала ,https://www.rts.rs/vesti/politika/5856611/marinika-tepic-vlada-mandic-optuznica.html,"петак, 26. дец 2025, 15:31 -> 16:04"
Укинут кућни притвор студенту Богдану Јовичићу,https://www.rts.rs/vesti/politika/5856572/ukinut-kucni-pritvor-studentu-bogdanu-jovicicu.html,"петак, 26. дец 2025, 14:49 -> 18:20"
Слађан Трајковић из Косовске Митровице првостепено осуђен на 10 година затвора,https://www.rts.rs/vesti/politika/5856262/sladjan-trajkovic-iz-kosovske-mitrovice-prvostepeno-osudjen-na-10-godina-zatvora.html,"петак, 26. дец 2025, 10:11 -> 19:46"
Боцан-Харченко: За НИС се тражи решење које ће бити у духу пријатељских односа Русије и Србије,https://www.rts.rs/vesti/politika/5856240/bocan-harcenko-za-nis-se-trazi-resenje-koje-ce-biti-u-duhu-prijateljskih-odnosa-rusije-i-srbije.html,"петак, 26. дец 2025, 09:15 -> 19:46"
Петковић: Победа Српске листе у недељу је брана Куртијевом терору и антисрпској политици,https://www.rts.rs/vesti/politika/5856212/petkovic-pobeda-srpske-liste-u-nedelju-je-brana-kurtijevom-teroru-i-antisrpskoj-politici.html,"петак, 26. дец 2025, 07:59 -> 09:02"
"Радаковић: Укидањем санкција усред кампање, ЕУ дала ветар у леђа Kуртију који рачуна и на дијаспору",https://www.rts.rs/vesti/politika/5856197/radakovic-ukidanjem-sankcija-usred-kampanje-eu-dala-vetar-u-ledja-kurtiju-koji-racuna-i-na-dijasporu.html,"петак, 26. дец 2025, 07:03 -> 08:30"
Петковић с представницима Српске листе: Срби ће увек имати своју државу,https://www.rts.rs/vesti/politika/5856189/petkovic-srpska-lista-izbori.html,"петак, 26. дец 2025, 06:39 -> 08:06"
Договор пет опозиционих странака о координацији активности ка ЕУ,https://www.rts.rs/vesti/politika/5856668/dogovor-pet-opozicionih-stranaka-o-koordinaciji-aktivnosti-ka-eu.html,"четвртак, 25. дец 2025, 21:31 -> 17:38"
ОКО: Власт и опозиција пред изборном годином – Пиља: Избори крајем 2026. године; Јовановић: Само ако буду демократски и слободни,https://www.rts.rs/vesti/politika/5856059/milos-jovanovic-biljana-pantic-pilja-izbori-skupstina.html,"четвртак, 25. дец 2025, 19:30 -> 20:28"
Вучић: Нови савски мост биће отворен до краја марта 2027.,https://www.rts.rs/vesti/politika/5855460/vucic-novi-savski-most-beograd-voda-stari-savski-most-.html,"четвртак, 25. дец 2025, 11:25 -> 20:02"
"Америчка политика и Западни Балкан – континуитет, нови модели и сужен простор за балансирање",https://www.rts.rs/vesti/politika/5855372/americka-politika-i-zapadni-balkan--kontinuitet-novi-modeli-i-suzen-prostor-za-balansiranje.html,"четвртак, 25. дец 2025, 10:50 -> 11:37"
"Старовић: Застој око кластера 3 због Брисела, без друштвеног консензуса о европском путу Србије",https://www.rts.rs/vesti/politika/5855281/starovic-evropa-unija-eu-evrointegracije-dijalog-beograd-pristina-brisel-klaster-tri.html,"четвртак, 25. дец 2025, 09:30 -> 10:13"
Потписан Споразум између Србије и Јапана о заштити улагања,https://www.rts.rs/vesti/politika/5854803/japan-srbija-ministarstvo-trgovine.html,"среда, 24. дец 2025, 13:11 -> 14:21"
Прекинуто суђење тројици Срба који се терете за експлозију на каналу Ибар–Лепенац,https://www.rts.rs/vesti/politika/5854629/prekinuto-sudjenje-trojici-srba-koji-se-terete-za-eksploziju-na-kanalu-ibarlepenac.html,"среда, 24. дец 2025, 12:00 -> 17:29"
У Народној скупштини новоизабране судије Уставног суда положиле заклетву,https://www.rts.rs/vesti/politika/5854610/narodna-skupstina-sudije-ustavni-sud.html,"среда, 24. дец 2025, 11:50 -> 12:13"
Отварање дела ,https://www.rts.rs/vesti/politika/5854290/moravski-koridor-deonica-auto-put-vucic-vrnjacka-banja-kraljevo.html,"среда, 24. дец 2025, 11:05 -> 18:08"
"Вучић отворио Амбасадорску конференцију: Појачаћемо дипломатско присуство у Африци и Азији, тамо је највећа стопа раста",https://www.rts.rs/vesti/politika/5854287/ambasadorska-konferencija-srbija-vucic.html,"среда, 24. дец 2025, 08:35 -> 19:44"
JУКОМ објавио прелиминарне резултате избора чланова Високог савета тужилаштва,https://www.rts.rs/vesti/drustvo/5854209/jukom-objavio-preliminarne-rezultate-izbora-clanova-visokog-saveta-tuzilastva.html,"уторак, 23. дец 2025, 21:30 -> 22:11"
Тродневни штрајк дела запослених у Народном позоришту,https://www.rts.rs/vesti/politika/5854236/trodnevni-strajk-dela-zaposlenih-u-narodnom-pozoristu.html,"уторак, 23. дец 2025, 21:24 -> 21:34"
"Никодијевић: Неће бити приватизације Апотеке Београд, потребан партнер за одрживо решење",https://www.rts.rs/vesti/politika/5854091/nikodijevic-nece-biti-privatizacije-apoteke-beograd-potreban-partner-za-odrzivo-resenje.html,"уторак, 23. дец 2025, 18:30 -> 21:16"
Скупштински одбор за културу утврдио листу кандидата за члана Савета РЕМ-а из националних мањина,https://www.rts.rs/vesti/politika/5854078/skupstinski-odbor-za-kulturu-utvrdio-listu-kandidata-za-clana-saveta-rem-a-iz-nacionalnih-manjina.html,"уторак, 23. дец 2025, 17:16 -> 19:54"
Представници Српске листе са отправницом послова америчке амбасаде ,https://www.rts.rs/vesti/politika/5853894/srpska-lista-otpravnica-poslova-amerika.html,"уторак, 23. дец 2025, 14:12 -> 14:24"
Пантић Пиља: Захтев за отимање НИС-а је политички лицемеран,https://www.rts.rs/vesti/politika/5853823/pantic-pilja-nis-djilas-.html,"уторак, 23. дец 2025, 13:47 -> 20:08"
Ђилас: ССП и СРЦЕ поднели предлог закона о преузимању НИС-а,https://www.rts.rs/vesti/politika/5853775/djilas-ssp-i-srce-podneli-predlog-zakona-o-preuzimanju-nis-a.html,"уторак, 23. дец 2025, 12:59 -> 20:00"
Драгутин Насковић из околине Гњилана одбацио оптужбе за ратне злочине,https://www.rts.rs/vesti/politika/5853657/dragutin-naskovic-iz-okoline-gnjilana-odbacio-optuzbe-za-ratne-zlocine.html,"уторак, 23. дец 2025, 12:12 -> 12:15"
Вучић: Имамо договор са Русијом о продужењу снабдевања гасом до 31. марта; Гаспром преговара са МОЛ-ом о продаји удела у НИС-у ,https://www.rts.rs/vesti/politika/5853652/vucic-gas-produzenje-nis-mol-nafta.html,"уторак, 23. дец 2025, 11:43 -> 19:34"
Вучић: Држава ће наставити да повећава плате у здравству и да пуно улаже ,https://www.rts.rs/vesti/politika/5853601/vucic-drzava-ce-nastaviti-da-povecava-plate-u-zdravstvu-i-da-puno-ulaze-.html,"уторак, 23. дец 2025, 11:09 -> 18:19"
Вучић примио у опроштајну посету амбасадоре Украјине и Јапана,https://www.rts.rs/vesti/politika/5853586/ambasadori-japan-ukrajina-vucic.html,"уторак, 23. дец 2025, 10:56 -> 11:24"
Терзић за РТС: Веома важно да интерно расељени са КиМ изађу на изборе 28. децембра,https://www.rts.rs/vesti/politika/5853575/kosovo-izbori-srpska-lista-terzic.html,"уторак, 23. дец 2025, 09:51 -> 10:27"
Ђурић за РТС: Очекујем да епизода у вези са НИС-ом буде успешно решена у наредним недељама,https://www.rts.rs/vesti/politika/5853537/djuric-za-rts-ocekujem-da-epizoda-u-vezi-sa-nis-om-bude-uspesno-resena-u-narednim-nedeljama.html,"уторак, 23. дец 2025, 08:30 -> 09:21"
